Ref_Date,Geography,Measure Type,Measure, Value 
2019/03,Alberta,AISH Client Average Age,Age 60 - 64,"9,654"
2019/03,Alberta,AISH Client Average Age,Age 65 +,635
2019/03,Alberta,AISH Client Average Age,All Ages Total,"63,453"
2019/03,Alberta,AISH Client Gender,Female,"29,645"
2019/03,Alberta,AISH Client Gender,Male,"33,808"
2019/03,Alberta,AISH Client Gender,All Gender Total,"63,453"
2019/03,Alberta,CSS Regions,Calgary,"18,179"
2019/03,Alberta,CSS Regions,Central,"8,808"
2019/03,Alberta,CSS Regions,Edmonton,"21,847"
2019/03,Alberta,CSS Regions,North Central,"4,092"
2019/03,Alberta,CSS Regions,North East,434
2019/03,Alberta,CSS Regions,North West,"3,023"
2019/03,Alberta,CSS Regions,South,"7,070"
2019/03,Alberta,CSS Regions,All Regions Total,"63,453"
2019/03,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,087"
2019/03,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,028"
2019/04,Alberta,Family Composition,Single Total,"55,542"
2019/04,Alberta,Family Composition,Single Parent Total,"3,794"
2019/04,Alberta,Family Composition,Childless Couples Total,"3,134"
2019/04,Alberta,Family Composition,Couples with Children Total,"1,685"
2019/04,Alberta,Family Composition,All Types Total,"64,155"
2019/04,Alberta,AISH Client Caseload,Straight AISH,"61,827"
2019/04,Alberta,AISH Client Caseload,Modified AISH,"2,170"
2019/04,Alberta,AISH Client Caseload,Com. Residence,158
2019/04,Alberta,AISH Client Caseload,Client Caseload Total,"64,155"
2019/04,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"28,332"
2019/04,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"19,433"
2019/04,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"16,373"
2019/04,Alberta,AISH Client Primary Medical Condition,Unknown,17
2019/04,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"64,155"
2019/04,Alberta,AISH Client Average Age,Age 18 - 19,"1,533"
2019/04,Alberta,AISH Client Average Age,Age 20 - 24,"5,865"
2019/04,Alberta,AISH Client Average Age,Age 25 - 29,"6,006"
2019/04,Alberta,AISH Client Average Age,Age 30 - 34,"5,631"
2019/04,Alberta,AISH Client Average Age,Age 35 - 39,"5,644"
2019/04,Alberta,AISH Client Average Age,Age 40 - 44,"5,344"
2019/04,Alberta,AISH Client Average Age,Age 45 - 49,"6,090"
2019/04,Alberta,AISH Client Average Age,Age 50 - 54,"7,525"
2019/04,Alberta,AISH Client Average Age,Age 55 - 59,"10,056"
2019/04,Alberta,AISH Client Average Age,Age 60 - 64,"9,801"
2019/04,Alberta,AISH Client Average Age,Age 65 +,660
2019/04,Alberta,AISH Client Average Age,All Ages Total,"64,155"
2019/04,Alberta,AISH Client Gender,Female,"29,989"
2019/04,Alberta,AISH Client Gender,Male,"34,166"
2019/04,Alberta,AISH Client Gender,All Gender Total,"64,155"
2019/04,Alberta,CSS Regions,Calgary,"18,408"
2019/04,Alberta,CSS Regions,Central,"8,920"
2019/04,Alberta,CSS Regions,Edmonton,"22,016"
2019/04,Alberta,CSS Regions,North Central,"4,137"
2019/04,Alberta,CSS Regions,North East,440
2019/04,Alberta,CSS Regions,North West,"3,073"
2019/04,Alberta,CSS Regions,South,"7,161"
2019/04,Alberta,CSS Regions,All Regions Total,"64,155"
2019/04,Alberta,AISH Client Income Type Snapshots,Employment Participation,"9,886"
2019/04,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,728"
2019/05,Alberta,Family Composition,Single Total,"56,045"
2019/05,Alberta,Family Composition,Single Parent Total,"3,854"
2019/05,Alberta,Family Composition,Childless Couples Total,"3,199"
2019/05,Alberta,Family Composition,Couples with Children Total,"1,712"
2019/05,Alberta,Family Composition,All Types Total,"64,810"
2019/05,Alberta,AISH Client Caseload,Straight AISH,"62,465"
2019/05,Alberta,AISH Client Caseload,Modified AISH,"2,187"
2019/05,Alberta,AISH Client Caseload,Com. Residence,158
2019/05,Alberta,AISH Client Caseload,Client Caseload Total,"64,810"
2019/05,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"28,673"
2019/05,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"19,659"
2019/05,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"16,456"
2019/05,Alberta,AISH Client Primary Medical Condition,Unknown,22
2019/05,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"64,810"
2019/05,Alberta,AISH Client Average Age,Age 18 - 19,"1,553"
2019/05,Alberta,AISH Client Average Age,Age 20 - 24,"5,893"
2019/05,Alberta,AISH Client Average Age,Age 25 - 29,"6,077"
2019/05,Alberta,AISH Client Average Age,Age 30 - 34,"5,709"
2019/05,Alberta,AISH Client Average Age,Age 35 - 39,"5,679"
2019/05,Alberta,AISH Client Average Age,Age 40 - 44,"5,430"
2019/05,Alberta,AISH Client Average Age,Age 45 - 49,"6,137"
2019/05,Alberta,AISH Client Average Age,Age 50 - 54,"7,601"
2019/05,Alberta,AISH Client Average Age,Age 55 - 59,"10,134"
2019/05,Alberta,AISH Client Average Age,Age 60 - 64,"9,924"
2019/05,Alberta,AISH Client Average Age,Age 65 +,673
2019/05,Alberta,AISH Client Average Age,All Ages Total,"64,810"
2019/05,Alberta,AISH Client Gender,Female,"30,317"
2019/05,Alberta,AISH Client Gender,Male,"34,493"
2019/05,Alberta,AISH Client Gender,All Gender Total,"64,810"
2019/05,Alberta,CSS Regions,Calgary,"18,686"
2019/05,Alberta,CSS Regions,Central,"9,012"
2019/05,Alberta,CSS Regions,Edmonton,"22,158"
2019/05,Alberta,CSS Regions,North Central,"4,168"
2019/05,Alberta,CSS Regions,North East,451
2019/05,Alberta,CSS Regions,North West,"3,106"
2019/05,Alberta,CSS Regions,South,"7,229"
2019/05,Alberta,CSS Regions,All Regions Total,"64,810"
2019/05,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,239"
2019/05,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,039"
2019/06,Alberta,Family Composition,Single Total,"56,554"
2019/06,Alberta,Family Composition,Single Parent Total,"3,911"
2019/06,Alberta,Family Composition,Childless Couples Total,"3,242"
2019/06,Alberta,Family Composition,Couples with Children Total,"1,757"
2019/06,Alberta,Family Composition,All Types Total,"65,464"
2019/06,Alberta,AISH Client Caseload,Straight AISH,"63,094"
2019/06,Alberta,AISH Client Caseload,Modified AISH,"2,212"
2019/06,Alberta,AISH Client Caseload,Com. Residence,158
2019/06,Alberta,AISH Client Caseload,Client Caseload Total,"65,464"
2019/06,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"29,061"
2019/06,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"19,832"
2019/06,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"16,545"
2019/06,Alberta,AISH Client Primary Medical Condition,Unknown,26
2019/06,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"65,464"
2019/06,Alberta,AISH Client Average Age,Age 18 - 19,"1,583"
2019/06,Alberta,AISH Client Average Age,Age 20 - 24,"5,942"
2019/06,Alberta,AISH Client Average Age,Age 25 - 29,"6,117"
2019/06,Alberta,AISH Client Average Age,Age 30 - 34,"5,773"
2019/06,Alberta,AISH Client Average Age,Age 35 - 39,"5,730"
2019/06,Alberta,AISH Client Average Age,Age 40 - 44,"5,504"
2019/06,Alberta,AISH Client Average Age,Age 45 - 49,"6,169"
2019/06,Alberta,AISH Client Average Age,Age 50 - 54,"7,667"
2019/06,Alberta,AISH Client Average Age,Age 55 - 59,"10,272"
2019/06,Alberta,AISH Client Average Age,Age 60 - 64,"10,010"
2019/06,Alberta,AISH Client Average Age,Age 65 +,697
2019/06,Alberta,AISH Client Average Age,All Ages Total,"65,464"
2019/06,Alberta,AISH Client Gender,Female,"30,626"
2019/06,Alberta,AISH Client Gender,Male,"34,838"
2019/06,Alberta,AISH Client Gender,All Gender Total,"65,464"
2019/06,Alberta,CSS Regions,Calgary,"18,911"
2019/06,Alberta,CSS Regions,Central,"9,046"
2019/06,Alberta,CSS Regions,Edmonton,"22,475"
2019/06,Alberta,CSS Regions,North Central,"4,193"
2019/06,Alberta,CSS Regions,North East,455
2019/06,Alberta,CSS Regions,North West,"3,106"
2019/06,Alberta,CSS Regions,South,"7,278"
2019/06,Alberta,CSS Regions,All Regions Total,"65,464"
2019/06,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,365"
2019/06,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,075"
2019/07,Alberta,Family Composition,Single Total,"56,988"
2019/07,Alberta,Family Composition,Single Parent Total,"3,932"
2019/07,Alberta,Family Composition,Childless Couples Total,"3,296"
2019/07,Alberta,Family Composition,Couples with Children Total,"1,773"
2019/07,Alberta,Family Composition,All Types Total,"65,989"
2019/07,Alberta,AISH Client Caseload,Straight AISH,"63,610"
2019/07,Alberta,AISH Client Caseload,Modified AISH,"2,222"
2019/07,Alberta,AISH Client Caseload,Com. Residence,157
2019/07,Alberta,AISH Client Caseload,Client Caseload Total,"65,989"
2019/07,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"29,287"
2019/07,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"19,986"
2019/07,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"16,690"
2019/07,Alberta,AISH Client Primary Medical Condition,Unknown,26
2019/07,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"65,989"
2019/07,Alberta,AISH Client Average Age,Age 18 - 19,"1,579"
2019/07,Alberta,AISH Client Average Age,Age 20 - 24,"6,007"
2019/07,Alberta,AISH Client Average Age,Age 25 - 29,"6,189"
2019/07,Alberta,AISH Client Average Age,Age 30 - 34,"5,812"
2019/07,Alberta,AISH Client Average Age,Age 35 - 39,"5,809"
2019/07,Alberta,AISH Client Average Age,Age 40 - 44,"5,542"
2019/07,Alberta,AISH Client Average Age,Age 45 - 49,"6,177"
2019/07,Alberta,AISH Client Average Age,Age 50 - 54,"7,720"
2019/07,Alberta,AISH Client Average Age,Age 55 - 59,"10,362"
2019/07,Alberta,AISH Client Average Age,Age 60 - 64,"10,082"
2019/07,Alberta,AISH Client Average Age,Age 65 +,710
2019/07,Alberta,AISH Client Average Age,All Ages Total,"65,989"
2019/07,Alberta,AISH Client Gender,Female,"30,871"
2019/07,Alberta,AISH Client Gender,Male,"35,118"
2019/07,Alberta,AISH Client Gender,All Gender Total,"65,989"
2019/07,Alberta,CSS Regions,Calgary,"19,108"
2019/07,Alberta,CSS Regions,Central,"9,092"
2019/07,Alberta,CSS Regions,Edmonton,"22,660"
2019/07,Alberta,CSS Regions,North Central,"4,206"
2019/07,Alberta,CSS Regions,North East,462
2019/07,Alberta,CSS Regions,North West,"3,139"
2019/07,Alberta,CSS Regions,South,"7,322"
2019/07,Alberta,CSS Regions,All Regions Total,"65,989"
2019/07,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,547"
2019/07,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,189"
2019/08,Alberta,Family Composition,Single Total,"57,240"
2019/08,Alberta,Family Composition,Single Parent Total,"3,927"
2019/08,Alberta,Family Composition,Childless Couples Total,"3,324"
2019/08,Alberta,Family Composition,Couples with Children Total,"1,781"
2019/08,Alberta,Family Composition,All Types Total,"66,272"
2019/08,Alberta,AISH Client Caseload,Straight AISH,"63,906"
2019/08,Alberta,AISH Client Caseload,Modified AISH,"2,209"
2019/08,Alberta,AISH Client Caseload,Com. Residence,157
2019/08,Alberta,AISH Client Caseload,Client Caseload Total,"66,272"
2019/08,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"29,412"
2019/08,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"20,068"
2019/08,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"16,763"
2019/08,Alberta,AISH Client Primary Medical Condition,Unknown,29
2019/08,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"66,272"
2019/08,Alberta,AISH Client Average Age,Age 18 - 19,"1,575"
2019/08,Alberta,AISH Client Average Age,Age 20 - 24,"6,030"
2019/08,Alberta,AISH Client Average Age,Age 25 - 29,"6,236"
2019/08,Alberta,AISH Client Average Age,Age 30 - 34,"5,849"
2019/08,Alberta,AISH Client Average Age,Age 35 - 39,"5,845"
2019/08,Alberta,AISH Client Average Age,Age 40 - 44,"5,574"
2019/08,Alberta,AISH Client Average Age,Age 45 - 49,"6,193"
2019/08,Alberta,AISH Client Average Age,Age 50 - 54,"7,741"
2019/08,Alberta,AISH Client Average Age,Age 55 - 59,"10,380"
2019/08,Alberta,AISH Client Average Age,Age 60 - 64,"10,162"
2019/08,Alberta,AISH Client Average Age,Age 65 +,687
2019/08,Alberta,AISH Client Average Age,All Ages Total,"66,272"
2019/08,Alberta,AISH Client Gender,Female,"30,994"
2019/08,Alberta,AISH Client Gender,Male,"35,278"
2019/08,Alberta,AISH Client Gender,All Gender Total,"66,272"
2019/08,Alberta,CSS Regions,Calgary,"19,249"
2019/08,Alberta,CSS Regions,Central,"9,145"
2019/08,Alberta,CSS Regions,Edmonton,"22,669"
2019/08,Alberta,CSS Regions,North Central,"4,250"
2019/08,Alberta,CSS Regions,North East,475
2019/08,Alberta,CSS Regions,North West,"3,161"
2019/08,Alberta,CSS Regions,South,"7,323"
2019/08,Alberta,CSS Regions,All Regions Total,"66,272"
2019/08,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,658"
2019/08,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,221"
2019/09,Alberta,Family Composition,Single Total,"57,596"
2019/09,Alberta,Family Composition,Single Parent Total,"3,961"
2019/09,Alberta,Family Composition,Childless Couples Total,"3,345"
2019/09,Alberta,Family Composition,Couples with Children Total,"1,802"
2019/09,Alberta,Family Composition,All Types Total,"66,704"
2019/09,Alberta,AISH Client Caseload,Straight AISH,"64,318"
2019/09,Alberta,AISH Client Caseload,Modified AISH,"2,230"
2019/09,Alberta,AISH Client Caseload,Com. Residence,156
2019/09,Alberta,AISH Client Caseload,Client Caseload Total,"66,704"
2019/09,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"29,577"
2019/09,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"20,222"
2019/09,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"16,870"
2019/09,Alberta,AISH Client Primary Medical Condition,Unknown,35
2019/09,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"66,704"
2019/09,Alberta,AISH Client Average Age,Age 18 - 19,"1,592"
2019/09,Alberta,AISH Client Average Age,Age 20 - 24,"6,055"
2019/09,Alberta,AISH Client Average Age,Age 25 - 29,"6,281"
2019/09,Alberta,AISH Client Average Age,Age 30 - 34,"5,875"
2019/09,Alberta,AISH Client Average Age,Age 35 - 39,"5,917"
2019/09,Alberta,AISH Client Average Age,Age 40 - 44,"5,615"
2019/09,Alberta,AISH Client Average Age,Age 45 - 49,"6,223"
2019/09,Alberta,AISH Client Average Age,Age 50 - 54,"7,743"
2019/09,Alberta,AISH Client Average Age,Age 55 - 59,"10,477"
2019/09,Alberta,AISH Client Average Age,Age 60 - 64,"10,245"
2019/09,Alberta,AISH Client Average Age,Age 65 +,681
2019/09,Alberta,AISH Client Average Age,All Ages Total,"66,704"
2019/09,Alberta,AISH Client Gender,Female,"31,169"
2019/09,Alberta,AISH Client Gender,Male,"35,535"
2019/09,Alberta,AISH Client Gender,All Gender Total,"66,704"
2019/09,Alberta,CSS Regions,Calgary,"19,398"
2019/09,Alberta,CSS Regions,Central,"9,205"
2019/09,Alberta,CSS Regions,Edmonton,"22,829"
2019/09,Alberta,CSS Regions,North Central,"4,273"
2019/09,Alberta,CSS Regions,North East,483
2019/09,Alberta,CSS Regions,North West,"3,173"
2019/09,Alberta,CSS Regions,South,"7,343"
2019/09,Alberta,CSS Regions,All Regions Total,"66,704"
2019/09,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,722"
2019/09,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,329"
2019/10,Alberta,Family Composition,Single Total,"57,967"
2019/10,Alberta,Family Composition,Single Parent Total,"4,009"
2019/10,Alberta,Family Composition,Childless Couples Total,"3,395"
2019/10,Alberta,Family Composition,Couples with Children Total,"1,814"
2019/10,Alberta,Family Composition,All Types Total,"67,185"
2019/10,Alberta,AISH Client Caseload,Straight AISH,"64,794"
2019/10,Alberta,AISH Client Caseload,Modified AISH,"2,235"
2019/10,Alberta,AISH Client Caseload,Com. Residence,156
2019/10,Alberta,AISH Client Caseload,Client Caseload Total,"67,185"
2019/10,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"29,785"
2019/10,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"20,381"
2019/10,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"16,980"
2019/10,Alberta,AISH Client Primary Medical Condition,Unknown,39
2019/10,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"67,185"
2019/10,Alberta,AISH Client Average Age,Age 18 - 19,"1,429"
2019/10,Alberta,AISH Client Average Age,Age 20 - 24,"6,057"
2019/10,Alberta,AISH Client Average Age,Age 25 - 29,"6,369"
2019/10,Alberta,AISH Client Average Age,Age 30 - 34,"5,966"
2019/10,Alberta,AISH Client Average Age,Age 35 - 39,"5,987"
2019/10,Alberta,AISH Client Average Age,Age 40 - 44,"5,668"
2019/10,Alberta,AISH Client Average Age,Age 45 - 49,"6,233"
2019/10,Alberta,AISH Client Average Age,Age 50 - 54,"7,689"
2019/10,Alberta,AISH Client Average Age,Age 55 - 59,"10,525"
2019/10,Alberta,AISH Client Average Age,Age 60 - 64,"10,372"
2019/10,Alberta,AISH Client Average Age,Age 65 +,890
2019/10,Alberta,AISH Client Average Age,All Ages Total,"67,185"
2019/10,Alberta,AISH Client Gender,Female,"31,359"
2019/10,Alberta,AISH Client Gender,Male,"35,826"
2019/10,Alberta,AISH Client Gender,All Gender Total,"67,185"
2019/10,Alberta,CSS Regions,Calgary,"19,529"
2019/10,Alberta,CSS Regions,Central,"9,242"
2019/10,Alberta,CSS Regions,Edmonton,"23,075"
2019/10,Alberta,CSS Regions,North Central,"4,293"
2019/10,Alberta,CSS Regions,North East,488
2019/10,Alberta,CSS Regions,North West,"3,205"
2019/10,Alberta,CSS Regions,South,"7,353"
2019/10,Alberta,CSS Regions,All Regions Total,"67,185"
2019/10,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,835"
2019/10,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,443"
2019/11,Alberta,Family Composition,Single Total,"58,288"
2019/11,Alberta,Family Composition,Single Parent Total,"4,044"
2019/11,Alberta,Family Composition,Childless Couples Total,"3,397"
2019/11,Alberta,Family Composition,Couples with Children Total,"1,836"
2019/11,Alberta,Family Composition,All Types Total,"67,565"
2019/11,Alberta,AISH Client Caseload,Straight AISH,"65,177"
2019/11,Alberta,AISH Client Caseload,Modified AISH,"2,233"
2019/11,Alberta,AISH Client Caseload,Com. Residence,155
2019/11,Alberta,AISH Client Caseload,Client Caseload Total,"67,565"
2019/11,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"29,955"
2019/11,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"20,488"
2019/11,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,082"
2019/11,Alberta,AISH Client Primary Medical Condition,Unknown,40
2019/11,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"67,565"
2019/11,Alberta,AISH Client Average Age,Age 18 - 19,"1,519"
2019/11,Alberta,AISH Client Average Age,Age 20 - 24,"6,108"
2019/11,Alberta,AISH Client Average Age,Age 25 - 29,"6,409"
2019/11,Alberta,AISH Client Average Age,Age 30 - 34,"5,997"
2019/11,Alberta,AISH Client Average Age,Age 35 - 39,"6,027"
2019/11,Alberta,AISH Client Average Age,Age 40 - 44,"5,712"
2019/11,Alberta,AISH Client Average Age,Age 45 - 49,"6,264"
2019/11,Alberta,AISH Client Average Age,Age 50 - 54,"7,761"
2019/11,Alberta,AISH Client Average Age,Age 55 - 59,"10,610"
2019/11,Alberta,AISH Client Average Age,Age 60 - 64,"10,432"
2019/11,Alberta,AISH Client Average Age,Age 65 +,726
2019/11,Alberta,AISH Client Average Age,All Ages Total,"67,565"
2019/11,Alberta,AISH Client Gender,Female,"31,536"
2019/11,Alberta,AISH Client Gender,Male,"36,029"
2019/11,Alberta,AISH Client Gender,All Gender Total,"67,565"
2019/11,Alberta,CSS Regions,Calgary,"19,634"
2019/11,Alberta,CSS Regions,Central,"9,249"
2019/11,Alberta,CSS Regions,Edmonton,"23,271"
2019/11,Alberta,CSS Regions,North Central,"4,332"
2019/11,Alberta,CSS Regions,North East,494
2019/11,Alberta,CSS Regions,North West,"3,214"
2019/11,Alberta,CSS Regions,South,"7,371"
2019/11,Alberta,CSS Regions,All Regions Total,"67,565"
2019/11,Alberta,AISH Client Income Type Snapshots,Employment Participation,"11,024"
2019/11,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,552"
2019/12,Alberta,Family Composition,Single Total,"58,467"
2019/12,Alberta,Family Composition,Single Parent Total,"4,054"
2019/12,Alberta,Family Composition,Childless Couples Total,"3,408"
2019/12,Alberta,Family Composition,Couples with Children Total,"1,839"
2019/12,Alberta,Family Composition,All Types Total,"67,768"
2019/12,Alberta,AISH Client Caseload,Straight AISH,"65,375"
2019/12,Alberta,AISH Client Caseload,Modified AISH,"2,238"
2019/12,Alberta,AISH Client Caseload,Com. Residence,155
2019/12,Alberta,AISH Client Caseload,Client Caseload Total,"67,768"
2019/12,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,036"
2019/12,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"20,534"
2019/12,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,158"
2019/12,Alberta,AISH Client Primary Medical Condition,Unknown,40
2019/12,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"67,768"
2019/12,Alberta,AISH Client Average Age,Age 18 - 19,"1,608"
2019/12,Alberta,AISH Client Average Age,Age 20 - 24,"6,145"
2019/12,Alberta,AISH Client Average Age,Age 25 - 29,"6,429"
2019/12,Alberta,AISH Client Average Age,Age 30 - 34,"6,008"
2019/12,Alberta,AISH Client Average Age,Age 35 - 39,"6,052"
2019/12,Alberta,AISH Client Average Age,Age 40 - 44,"5,720"
2019/12,Alberta,AISH Client Average Age,Age 45 - 49,"6,284"
2019/12,Alberta,AISH Client Average Age,Age 50 - 54,"7,801"
2019/12,Alberta,AISH Client Average Age,Age 55 - 59,"10,637"
2019/12,Alberta,AISH Client Average Age,Age 60 - 64,"10,452"
2019/12,Alberta,AISH Client Average Age,Age 65 +,632
2019/12,Alberta,AISH Client Average Age,All Ages Total,"67,768"
2019/12,Alberta,AISH Client Gender,Female,"31,635"
2019/12,Alberta,AISH Client Gender,Male,"36,133"
2019/12,Alberta,AISH Client Gender,All Gender Total,"67,768"
2019/12,Alberta,CSS Regions,Calgary,"19,728"
2019/12,Alberta,CSS Regions,Central,"9,273"
2019/12,Alberta,CSS Regions,Edmonton,"23,308"
2019/12,Alberta,CSS Regions,North Central,"4,341"
2019/12,Alberta,CSS Regions,North East,497
2019/12,Alberta,CSS Regions,North West,"3,223"
2019/12,Alberta,CSS Regions,South,"7,398"
2019/12,Alberta,CSS Regions,All Regions Total,"67,768"
2019/12,Alberta,AISH Client Income Type Snapshots,Employment Participation,"11,040"
2019/12,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,614"
2020/01,Alberta,Family Composition,Single Total,"58,935"
2020/01,Alberta,Family Composition,Single Parent Total,"4,117"
2020/01,Alberta,Family Composition,Childless Couples Total,"3,423"
2020/01,Alberta,Family Composition,Couples with Children Total,"1,880"
2020/01,Alberta,Family Composition,All Types Total,"68,355"
2020/01,Alberta,AISH Client Caseload,Straight AISH,"65,938"
2020/01,Alberta,AISH Client Caseload,Modified AISH,"2,263"
2020/01,Alberta,AISH Client Caseload,Com. Residence,154
2020/01,Alberta,AISH Client Caseload,Client Caseload Total,"68,355"
2020/01,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,315"
2020/01,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"20,708"
2020/01,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,287"
2020/01,Alberta,AISH Client Primary Medical Condition,Unknown,45
2020/01,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"68,355"
2020/01,Alberta,AISH Client Average Age,Age 18 - 19,"1,601"
2020/01,Alberta,AISH Client Average Age,Age 20 - 24,"6,212"
2020/01,Alberta,AISH Client Average Age,Age 25 - 29,"6,503"
2020/01,Alberta,AISH Client Average Age,Age 30 - 34,"6,075"
2020/01,Alberta,AISH Client Average Age,Age 35 - 39,"6,110"
2020/01,Alberta,AISH Client Average Age,Age 40 - 44,"5,798"
2020/01,Alberta,AISH Client Average Age,Age 45 - 49,"6,336"
2020/01,Alberta,AISH Client Average Age,Age 50 - 54,"7,819"
2020/01,Alberta,AISH Client Average Age,Age 55 - 59,"10,727"
2020/01,Alberta,AISH Client Average Age,Age 60 - 64,"10,539"
2020/01,Alberta,AISH Client Average Age,Age 65 +,635
2020/01,Alberta,AISH Client Average Age,All Ages Total,"68,355"
2020/01,Alberta,AISH Client Gender,Female,"31,902"
2020/01,Alberta,AISH Client Gender,Male,"36,453"
2020/01,Alberta,AISH Client Gender,All Gender Total,"68,355"
2020/01,Alberta,CSS Regions,Calgary,"19,880"
2020/01,Alberta,CSS Regions,Central,"9,313"
2020/01,Alberta,CSS Regions,Edmonton,"23,573"
2020/01,Alberta,CSS Regions,North Central,"4,380"
2020/01,Alberta,CSS Regions,North East,500
2020/01,Alberta,CSS Regions,North West,"3,267"
2020/01,Alberta,CSS Regions,South,"7,442"
2020/01,Alberta,CSS Regions,All Regions Total,"68,355"
2020/01,Alberta,AISH Client Income Type Snapshots,Employment Participation,"11,421"
2020/01,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,715"
2020/02,Alberta,Family Composition,Single Total,"59,094"
2020/02,Alberta,Family Composition,Single Parent Total,"4,145"
2020/02,Alberta,Family Composition,Childless Couples Total,"3,434"
2020/02,Alberta,Family Composition,Couples with Children Total,"1,901"
2020/02,Alberta,Family Composition,All Types Total,"68,574"
2020/02,Alberta,AISH Client Caseload,Straight AISH,"66,157"
2020/02,Alberta,AISH Client Caseload,Modified AISH,"2,263"
2020/02,Alberta,AISH Client Caseload,Com. Residence,154
2020/02,Alberta,AISH Client Caseload,Client Caseload Total,"68,574"
2020/02,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,393"
2020/02,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"20,783"
2020/02,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,354"
2020/02,Alberta,AISH Client Primary Medical Condition,Unknown,44
2020/02,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"68,574"
2020/02,Alberta,AISH Client Average Age,Age 18 - 19,"1,625"
2020/02,Alberta,AISH Client Average Age,Age 20 - 24,"6,229"
2020/02,Alberta,AISH Client Average Age,Age 25 - 29,"6,525"
2020/02,Alberta,AISH Client Average Age,Age 30 - 34,"6,128"
2020/02,Alberta,AISH Client Average Age,Age 35 - 39,"6,159"
2020/02,Alberta,AISH Client Average Age,Age 40 - 44,"5,811"
2020/02,Alberta,AISH Client Average Age,Age 45 - 49,"6,326"
2020/02,Alberta,AISH Client Average Age,Age 50 - 54,"7,840"
2020/02,Alberta,AISH Client Average Age,Age 55 - 59,"10,757"
2020/02,Alberta,AISH Client Average Age,Age 60 - 64,"10,574"
2020/02,Alberta,AISH Client Average Age,Age 65 +,600
